Title,Description,Label
Russian missile strike hits restaurants in Ukraine city,"Emergency services are at the scene but the number of casualties is so far unknown, the governor says.",1
Canada wildfires spark air quality alerts in Chicago,Smoke drifting south causes a haze over parts of Ontario as well US cities like Chicago and Milwaukee.,1
Bio re-elected in Sierra Leone amid poll dispute,The opposition has complained that the vote tallying was not transparent and have disputed the result.,1
Wagner's network in Africa faces uncertain future,What does the Russian mercenary group's failed mutiny mean for its fighters in African countries?,1
What losses did Russia suffer in the Wagner revolt?,What we know about the Russian equipment and troops lost during the recent uprising.,1
Farmer helps deliver donated pickups to Ukraine,The vehicles are driven to a Ukrainian military base before being used by the army for logistics.,1
RTÉ's Dee Forbes will not attend parliamentary committee,The RTÉ director general had been invited to appear before politicians over payments to Ryan Tubridy.,1
Russia executed 77 detained civilians in Ukraine - UN,"The UN says more than 800 people have been arbitrarily detained, with evidence of widespread torture.",1
"Wagner group fully funded by Russia, says Putin",The president says more than $1bn was given to the mercenary group in the past year.,1
Pompeii archaeologists discover 'pizza' painting,"Experts say the flatbread depicted in the 2,000 year-old fresco may be a precursor to the Italian dish.",1
UK to work more closely with EU on financial services,The UK and EU pact is being seen as a step towards better relations over financial services.,1
Trump heard on tape discussing secret documents,It appears to be the same recording cited by prosecutors in their indictment of the former president.,1
Pakistan army sacks officers over Imran Khan protests,"In a rare public announcement, the Pakistan army says the officers failed to protect military assets.",1
Sacked teacher vows to defend 20 years of absence,"The Italian teacher has promised to ""reconstruct the truth"" after a court confirmed her dismissal.",1
