Title,Description,Label
Victims And Shooter Identified In Nashville School Killings,Three children and three adults died after a shooter stormed the small private school.,1
"Train Derails In Rural North Dakota, Causes Chemical Spill",Local authorities and the railroad said there is no threat to public safety.,1
Wisconsin School Won't Allow Students To Perform Miley Cyrus And Dolly Parton's Song,"Heyer Elementary School administrators have argued that ""Rainbowland,"" which promotes LGBTQ acceptance, could be ""perceived as controversial.""",1
Biden Repeats Plea For Assault Weapons Ban In Wake Of Nashville Shooting,"“We have to do more to stop gun violence. It’s ripping our communities apart,"" the president said after three children and three adults were killed at a Nashville school.",1
Rick Scott Suggests 'Automatic Death Penalty' For School Shooters,The Florida Republican pitched the idea after a school shooting Wednesday in which police immediately killed the perpetrator.,1
Woman Interrupts Fox News Broadcast With Passionate Call For Gun Control,The activist urged Congress to take action after the mass shooting at a private Christian grade school in Nashville.,1
GOP Senators Push Resolution To Overturn Biden's Student Debt Plan,The proposed measure is going through a fast-track process requiring a simple majority to pass.,1
Rep. Sheila Jackson Lee Wants To Become The First Black Woman Mayor Of Houston,Two Black men and two white women have served as mayors of the Texas city.,1
Florida Plastic Surgeon Accused Of Murdering Missing Lawyer,Dr. Tomasz Kosowski is accused of killing a lawyer missing since last week from a firm that represents former co-workers the doctor has been suing in a business dispute.,1
"Twitter's Value Has Plummeted Since Elon Took Over, Elon Says",Twitter Blue subscriptions aren't even close to making up the difference.,1
